13888,鹿晗新歌《某时某刻》首唱
13903,鹿晗小镇Lu's Town好好玩
13955,"鹿晗舞蹈合集,啊哈哈哈超级冠军在最后"
13994,鹿晗 - 我们的明天mp4
13995,鹿晗，我们的明天
14011,鹿晗 我的致爱少年
14177,鹿晗说 受伤是勋章 那我岂不是满身都是勋章
14329,鹿晗上海演唱会solo <封印+冒险时间+LU>
14499,鹿晗——某时某刻
14500,鹿晗-某时某刻
14528,鹿晗-冒险时间不知道你们听过没，听一下吧
14529,鹿晗 - 冒险时间(Adventure Time)mp4
14530,鹿晗-冒险时间
14550,"#鹿晗# #鹿晗#,你受过的伤，都是你的勋章"
14551,#鹿晗##鹿晗某时某刻# 鹿住鹿住 图片出处见LOGO
14848,"鹿晗,还是最喜欢你,十二月的奇迹,我的诺言"
14940,"鹿晗—封印, （Excited）"
14968,鹿晗《致爱Your songs》
14969,鹿晗《有点儿意思》
14976,鹿晗 《我们的明天 (Live)》
14978,鹿晗《某时某刻 Catch me when I fall》
14979,鹿晗 《某时某刻 》
14980,鹿晗《冒险时间》
14988,鹿晗《超级冠军》舞蹈版
15013,鹿晗的原动力
15029,鹿晗的勋章？
15097,鹿晗的封印！给你们的福利！
15105,鹿晗的《封印》
15236,鹿晗餐厅！！！还放着某时某刻
15238,"鹿晗〔冒险时间〕,,我翻唱的，给个评价呗"
15370,鹿晗LuHan
15397,鹿晗– 致爱
15612,流行舞串烧，最后加上鹿晗的《超级冠军》，谢谢支持
15799,开幕式跳鹿晗的超级冠军 这个班厉害了
15868,今晚的课是鹿晗的舞 冒险时间第一节课 能来的 来吧
15921,教室 鹿晗的致爱 啦啦啦啦
16140,"哈哈到处都是鹿晗,LLuHAN everywhere,"
16245,歌词海报：鹿晗 《致爱 Your Song》
16292,封印鹿晗
16348,"《致爱之鹿晗裤子》,笑喷我,,图cr"
16364,《我们的明天》听鹿晗
16365,《我们的明天》鹿晗
16371,《某时某刻》听鹿晗
16449,等我的这条说说破75赞我就手抄鹿晗的Lu一百遍
16503,大张伟演唱会 鹿晗首唱某时某刻
16507,大张伟人间精品演唱会嘉宾鹿晗《某时某刻》
16586,吃饭的时候听到鹿晗的某时某刻
16603,"超级冠军,鹿晗"
16604,超级冠军 鹿晗
16605,超级冠军 — 鹿晗
16606,超级冠军，老公鹿晗
17015,LuHan鹿晗Dance Practice Video练习室版MV
17026,kfc一直在放鹿晗的歌啊啊啊勋章真的超好听
17035,"I DONT WANNA LET YOU DOWN, - 《某时某刻》, 鹿晗"
17186,20161119大张伟演唱会嘉宾鹿晗首唱某时某刻
17247,"160326 我们的明天,我们鹿晗啊我可以吻你吗 ～"
17488,走着走着听到了薛之谦的演员和鹿晗的我们的明天
17818,致爱 我们的明天 鹿晗
17819,致爱鹿晗！一生一世永爱你小鹿，彤，一生一世520
17820,致爱鹿晗╮(╯▽╰)╭
17821,致爱鹿晗+N
17823,致爱鹿晗(^_^)
17824,致爱 & 封印 官方现场版 -- 鹿晗
17825,致爱your song一首鹿晗送给鹿饭的歌（突然想哭）
17826,致爱 Your Song-鹿晗 有点心酸的感觉
17827,致爱 Your Song-鹿晗 生命不停，篮球不熄
17828,致爱Your Song---鹿晗
17829,致爱 Your Song-鹿晗 。。。。。。
17830,致爱 Your Song - 鹿晗
17831,"致爱 your song, ——鹿晗"
17832,致爱℡鹿晗
17833,"致爱~lù hán,鹿晗"
18109,这样看鹿晗好帅，歌曲《勋章》不错，推荐给你们
18322,这么多人粉丝喜欢鹿晗的歌曲 没错我也喜欢勋章
18403,"这家肯德基好像超级喜欢鹿晗啊,我们的明天,"
18963,"预览就已经这么好看了T^T,,图/鹿晗吧_LuhanBar"
19052,又一次听到鹿晗的歌〔我们的明天〕心有点痛啊？
19313,有点儿意思 鹿晗
19314,有点儿意思MV蓝光画质，鹿晗跳舞帅爆了。
19452,因为鹿晗新歌《某时某刻》知道戳爷（Troye Sivan)
19692,一生致爱——鹿晗
19795,一鹿伴晗 致爱鹿晗
19803,一鹿伴晗】【新闻】鹿晗再获荣耀勋章，展现王者风范
20149,勋章。嗯。鹿晗是我的勋章。
20150,勋章-鹿晗 混剪版“而我受过的伤，都是我的勋章”
20151,"勋章, ——鹿晗（电影版）"
20153,"勋章, ——鹿晗"
20154,勋章_鹿晗
20155,（勋章）鹿晗
20156,勋章 (《我是证人》电影主题曲)-鹿晗 “无趣”
20157,"勋章–––鹿晗！, 晚安！"
20168,学校是有好喜欢我鹿晗一天放了几次致爱
20184,学校广播站鹿晗某时某刻
20199,学霸哥评鹿晗：《某时某刻》
20454,校运会放鹿晗的超级冠军
20455,校礼堂放鹿晗的我们的明天
20607,"像梦一样，随风而散,感恩,另:鹿晗唱的勋章很好听"
20745,现在在放我老公鹿晗的歌！！！我们的明天！！！！！
20757,现在的闹铃和来电都是你的新歌《某时某刻》致爱鹿晗
20779,"夏老师翻唱鹿晗单曲#某时某刻#,"
21243,"我制作了一张歌词海报：,鹿晗 《诺言》"
21244,我制作了一张歌词海报：鹿晗 《致爱 Your Song》，
21245,我制作了一张歌词海报：鹿晗 《原动力 (星战版)》。
21246,我制作了一张歌词海报：鹿晗 《我们的明天 (Live)》
21247,我制作了一张歌词海报：鹿晗 《某时某刻》
21248,我制作了一张歌词海报：鹿晗 《海底（Deep）》
21527,我心中永远的致爱只有你鹿晗
21801,我是鹿晗的诺言，转发你的结果
21930,我们鹿爷的勋章，鹿晗鹿饭相爱吧！圣诞快乐！
21979,我们的明天-鹿晗 又快三年了！
21980,我们的明天-鹿晗 因为已经尽力了呀
21981,我们的明天-鹿晗 一切都是最好的安排
21982,我们的明天鹿晗
21983,我们的明天－鹿晗
21984,我们的明天——鹿晗
21985,我们的明天---鹿晗
22025,我妈说鹿晗唱勋章娘我还是要保持微笑
22519,我的小学时代，致爱鹿晗
22556,"我的彭勇 我的鹿晗,而你受过的伤 都是你的勋章"
22717,我不屑比赛，我只是热爱。鹿晗《有点儿意思》
22759,"我必初心不忘，陪你光芒万丈, 某时某刻，鹿晗"
22761,我比较喜欢鹿晗的《给我一个吻》
22955,唯爱！鹿晗-勋章！没有之一
23111,微白城市，有鹿晗的冬天特别暖
23121,王祖蓝送给鹿晗的《有点儿意思》 可以，这很祖蓝！
23261,玩烟花，上瘾了。——(致爱 Your Song鹿晗)
23412,听 致爱 Your Song-鹿晗 致爱
23413,听 致爱（Your Song）-鹿晗 ［倒计时-——12天
23414,听 致爱 Your Song-鹿晗 已来，无需再躲。
23415,听 致爱 Your Song-鹿晗 要开心，要乐观，要热爱生活
23416,听 致爱 Your Song-鹿晗 我只是希望有个人能懂我。
23417,听 致爱 Your Song-鹿晗 晚安
23418,听 致爱 Your Song-鹿晗 世界变化不停，人潮川流不息
23419,听 致爱 Your Song-鹿晗 倾听
23420,听 致爱 Your Song-鹿晗 今天下午跑死了。
23421,听 致爱 Your Song-鹿晗 爱是什么？
23422,听 致爱（Your Song） (吉他版)-鹿晗
23430,听 原动力 -鹿晗 http://urlcn/a3u99K
23432,听 勋章 (《我是证人》电影主题曲)-鹿晗 路人转粉
23433,听 新不了情 (Live)-鹿晗
23434,听 我们的明天-鹿晗 我们什么时候才会有明天？
23435,听 我们的明天-鹿晗 我们的明天
23436,听 我们的明天-鹿晗 睡觉
23437,听 我们的明天-鹿晗 谁能不受伤，不伪装，不彷惶！
23438,听 我们的明天-鹿晗 嗯
23439,听 我们的明天-鹿晗 厉害了 眼都肿了！
23440,听 我们的明天-鹿晗 就像离殇喜欢凉风一样、、、、
23441,听 我们的明天-鹿晗 好小鹿的歌，好好听耶。
23442,听 我们的明天-鹿晗 别哭，我在厑哦，，
23443,听 我们的明天-鹿晗 光下我记得
23444,听 我们的明天-鹿晗 ( ?2
23452,听听歌心情会好的 致爱yousong 鹿晗
23528,听 某时某刻 Catch me when I fall-鹿晗 无聊。。。
23529,听 某时某刻 Catch me when I fall-鹿晗 我很好。
23530,听 某时某刻 Catch me when I fall-鹿晗 世界和平
23531,听 某时某刻 Catch me when I fall-鹿晗 每时每刻
